date,1_day_sale,3_day_sale,10_day_sale
2002-01-07,-0.021,-0.119,-0.077
2002-01-16,0.121,0.074,0.281
2002-01-29,0.073,0.096,0.117
2002-02-01,0.067,0.019,-0.036
2002-02-06,-0.026,0.022,-0.226
2002-02-26,-0.122,-0.016,0.075
2002-03-05,0.039,0.081,0.094
2002-03-12,-0.016,0.016,-0.090
2002-03-21,-0.013,-0.058,0.034
2002-04-02,-0.023,0.048,0.119
2002-04-15,0.053,0.029,-0.074
2002-04-18,-0.031,-0.083,-0.123
2002-05-01,-0.021,-0.095,0.093
2002-05-15,-0.005,-0.039,-0.077
2002-05-24,-0.012,0.004,-0.191
2002-06-18,-0.216,-0.236,-0.229
2002-07-01,-0.009,0.120,0.057
2002-07-08,-0.034,0.021,-0.221
2002-07-31,-0.033,-0.091,-0.006
2002-08-09,-0.001,0.012,0.052
2002-08-20,0.015,-0.013,-0.102
2002-09-19,0.021,0.004,-0.020
2002-10-16,-0.032,0.000,0.101
2002-10-24,0.052,0.054,0.094
2002-10-29,0.039,0.066,0.014
2002-11-07,-0.011,-0.026,0.025
2002-11-22,-0.003,-0.021,-0.090
2002-12-12,-0.029,-0.008,-0.081
2002-12-18,-0.026,-0.006,0.024
2003-01-13,-0.001,-0.001,-0.004
2003-01-30,0.003,0.020,0.016
2003-02-04,-0.011,-0.032,0.018
2003-02-19,-0.006,-0.008,-0.016
2003-03-03,-0.006,-0.006,0.026
2003-03-18,-0.004,0.000,-0.060
2003-03-31,0.001,0.023,-0.040
2003-04-03,-0.004,-0.001,-0.096
2003-04-24,-0.006,0.044,0.326
2003-05-14,0.013,-0.032,-0.032
2003-05-19,-0.022,0.010,-0.056
2003-05-28,-0.013,-0.059,-0.059
2003-06-06,-0.026,0.021,0.146
2003-06-13,0.061,0.121,0.094
2003-06-23,-0.020,0.016,0.096
2003-06-27,0.024,0.039,0.084
2003-07-03,0.053,0.054,0.124
2003-07-09,-0.022,0.001,0.064
2003-07-15,0.019,0.089,0.079
2003-07-18,-0.018,-0.005,-0.009
2003-08-14,-0.019,0.025,0.159
2003-08-22,-0.001,0.043,0.133
2003-09-04,-0.024,-0.033,0.004
2003-09-15,0.011,0.048,-0.065
2003-09-30,0.005,0.069,0.274
2003-10-08,0.028,0.092,-0.021
2003-10-16,-0.036,-0.005,-0.011
2003-11-07,-0.043,-0.012,-0.159
2003-11-14,-0.024,-0.074,0.018
2003-12-02,-0.036,-0.049,-0.101
2004-01-02,0.064,0.094,0.103
2004-01-09,0.052,0.086,0.001
2004-01-15,-0.009,-0.017,-0.021
2004-01-28,0.011,-0.014,0.091
2004-02-09,0.022,0.076,-0.022
2004-02-12,-0.052,-0.034,0.014
2004-02-19,-0.005,-0.008,0.192
2004-03-02,0.008,0.209,0.144
2004-03-08,0.079,0.082,-0.010
2004-03-11,0.029,-0.095,-0.020
2004-03-31,0.005,0.091,0.161
2004-04-06,-0.037,0.015,-0.007
2004-04-13,-0.021,0.161,0.001
