Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,1.575000,1.664286,1.568571,1.664286,1.122321,132374200
2002-01-03,1.642857,1.696429,1.626429,1.684286,1.135809,153001800
2002-01-04,1.667143,1.710714,1.642143,1.692143,1.141107,102494000
2002-01-07,1.694286,1.714286,1.625000,1.635714,1.103054,111146000
2002-01-08,1.625000,1.646429,1.604286,1.615000,1.089085,112509600
2002-01-09,1.628571,1.637857,1.520000,1.546429,1.042844,81958800
2002-01-10,1.515714,1.532857,1.446429,1.516429,1.022613,113184400
2002-01-11,1.527857,1.560000,1.471429,1.503571,1.013943,87200400
2002-01-14,1.500714,1.528571,1.492857,1.510714,1.018759,103999000
2002-01-15,1.522857,1.554286,1.515000,1.550000,1.045252,72580200
2002-01-16,1.529286,1.529286,1.464286,1.484286,1.000937,141723400
2002-01-17,1.568571,1.624286,1.562143,1.605714,1.082823,165144000
2002-01-18,1.571429,1.614286,1.568571,1.583571,1.067891,84702800
2002-01-22,1.590714,1.597857,1.558571,1.558571,1.051032,81828600
2002-01-23,1.557143,1.645714,1.542143,1.644286,1.108834,110819800
2002-01-24,1.636429,1.679286,1.635714,1.657857,1.117986,86000600
2002-01-25,1.635000,1.672857,1.618571,1.660714,1.119913,46478600
2002-01-28,1.671429,1.682143,1.622857,1.662143,1.120876,46611600
2002-01-29,1.658571,1.681429,1.632143,1.647857,1.111243,60081000
2002-01-30,1.647857,1.724286,1.638571,1.720714,1.160374,117894000
2002-01-31,1.725714,1.766429,1.722143,1.765714,1.190720,117111400
2002-02-01,1.738571,1.782857,1.738571,1.743571,1.175788,99576400
2002-02-04,1.737143,1.822857,1.728571,1.810714,1.221066,130593400
2002-02-05,1.792143,1.855714,1.791429,1.817857,1.225883,114221800
2002-02-06,1.828571,1.855714,1.725000,1.762143,1.188312,149394000
2002-02-07,1.760714,1.806429,1.720000,1.735714,1.170490,86958200
2002-02-08,1.742857,1.760000,1.669286,1.716429,1.157484,88832800
2002-02-11,1.709286,1.785714,1.695714,1.784286,1.203244,99650600
2002-02-12,1.761429,1.788571,1.746429,1.765000,1.190238,56070000
2002-02-13,1.766429,1.802857,1.760714,1.786429,1.204689,78218000
2002-02-14,1.789286,1.802143,1.741429,1.757143,1.184940,65042600
2002-02-15,1.752143,1.784286,1.703571,1.707143,1.151222,65046800
2002-02-19,1.697143,1.705000,1.605714,1.615714,1.089567,97564600
2002-02-20,1.626429,1.657143,1.596429,1.652143,1.114133,71360800
2002-02-21,1.637143,1.642857,1.532143,1.535714,1.035618,111687800
2002-02-22,1.547143,1.639286,1.535714,1.624286,1.095347,101619000
2002-02-25,1.632143,1.765714,1.597143,1.700714,1.146887,106712200
2002-02-26,1.707857,1.740714,1.660714,1.690714,1.140144,65032800
2002-02-27,1.710000,1.732143,1.495714,1.568571,1.057776,257539800
2002-02-28,1.582143,1.613571,1.525000,1.550000,1.045252,114234400
2002-03-01,1.566429,1.678571,1.558571,1.675000,1.129547,87248000
2002-03-04,1.661429,1.755714,1.625714,1.735000,1.170008,87064600
2002-03-05,1.725000,1.745000,1.671429,1.680714,1.133400,68675600
2002-03-06,1.677143,1.738571,1.637857,1.719286,1.159411,56551600
2002-03-07,1.718571,1.752143,1.686429,1.741429,1.174343,64562400
2002-03-08,1.767143,1.792143,1.735714,1.761429,1.187830,67443600
2002-03-11,1.757143,1.795714,1.721429,1.790000,1.207098,65696400
2002-03-12,1.750714,1.767143,1.721429,1.765714,1.190720,63513800
2002-03-13,1.740714,1.775000,1.725000,1.749286,1.179641,50191400
2002-03-14,1.735714,1.757143,1.705000,1.745000,1.176752,54324200
2002-03-15,1.747143,1.782857,1.732143,1.782143,1.201799,60225200
2002-03-18,1.782143,1.789286,1.737143,1.767143,1.191684,76139000
2002-03-19,1.763571,1.807143,1.735714,1.775000,1.196982,60586400
2002-03-20,1.761429,1.795714,1.750000,1.780000,1.200354,73579800
2002-03-21,1.704286,1.735714,1.661429,1.733571,1.169044,154088200
2002-03-22,1.730000,1.754286,1.705000,1.720714,1.160374,50548400
2002-03-25,1.719286,1.720714,1.660000,1.667857,1.124730,65707600
2002-03-26,1.657143,1.688571,1.642857,1.675714,1.130028,64460200
2002-03-27,1.667857,1.694286,1.661429,1.676429,1.130510,31925600
2002-03-28,1.692857,1.705714,1.675714,1.690714,1.140144,27113800
2002-04-01,1.670000,1.764286,1.662857,1.747143,1.178197,49761600
2002-04-02,1.714286,1.735714,1.705000,1.719286,1.159411,50948800
2002-04-03,1.717857,1.749286,1.685714,1.696429,1.143997,53632600
2002-04-04,1.690714,1.789286,1.690714,1.778571,1.199391,84624400
2002-04-05,1.782143,1.799286,1.721429,1.767143,1.191684,69587000
2002-04-08,1.725714,1.762857,1.698571,1.754286,1.183013,65378600
2002-04-09,1.756429,1.785714,1.715000,1.721429,1.160856,47882800
2002-04-10,1.729286,1.782143,1.715000,1.761429,1.187830,56245000
2002-04-11,1.787857,1.800000,1.767857,1.775714,1.197464,101813600
2002-04-12,1.786429,1.797857,1.755000,1.790000,1.207098,80060400
2002-04-15,1.790000,1.796429,1.771429,1.785714,1.204207,74842600
2002-04-16,1.796429,1.856429,1.794286,1.838571,1.239852,153644400
2002-04-17,1.852143,1.869286,1.812857,1.865000,1.257674,99062600
2002-04-18,1.821429,1.822857,1.777143,1.815000,1.223956,100427600
2002-04-19,1.820714,1.820714,1.780714,1.784286,1.203244,93851800
2002-04-22,1.774286,1.780714,1.730714,1.752143,1.181568,67356800
2002-04-23,1.752857,1.770000,1.720714,1.732143,1.168081,58367400
2002-04-24,1.735714,1.750000,1.691429,1.697857,1.144960,35112000
2002-04-25,1.682857,1.738571,1.682143,1.722857,1.161820,48550600
2002-04-26,1.734286,1.740714,1.642857,1.643571,1.108353,76245400
2002-04-29,1.654286,1.718571,1.649286,1.711429,1.154112,68072200
2002-04-30,1.706429,1.741429,1.696429,1.733571,1.169044,70240800
2002-05-01,1.735000,1.735000,1.668571,1.712857,1.155076,53676000
2002-05-02,1.700714,1.738571,1.685714,1.692143,1.141107,59836000
2002-05-03,1.683571,1.715714,1.673571,1.679286,1.132437,57695400
2002-05-06,1.667857,1.678571,1.604286,1.617857,1.091012,62416200
2002-05-07,1.638571,1.639286,1.581429,1.605000,1.082341,60687200
2002-05-08,1.657143,1.751429,1.645714,1.740714,1.173861,109170600
2002-05-09,1.732143,1.739286,1.700000,1.727857,1.165191,56154000
2002-05-10,1.735000,1.735000,1.641429,1.665714,1.123285,58849000
2002-05-13,1.680000,1.720714,1.638571,1.710000,1.153149,66402000
2002-05-14,1.746429,1.834286,1.730000,1.829286,1.233590,131626600
2002-05-15,1.812143,1.855714,1.774286,1.805714,1.217694,83956600
2002-05-16,1.790000,1.817857,1.767857,1.800714,1.214323,56763000
2002-05-17,1.820714,1.841429,1.757857,1.786429,1.204689,59123400
2002-05-20,1.755000,1.780714,1.752143,1.767143,1.191684,67478600
2002-05-21,1.773571,1.785714,1.671429,1.675714,1.130028,70247800
2002-05-22,1.669286,1.740714,1.665714,1.737143,1.171453,72718800
2002-05-23,1.746429,1.802857,1.719286,1.798571,1.212878,92349600
2002-05-24,1.785000,1.785000,1.711429,1.725000,1.163264,41543600
2002-05-28,1.692143,1.728571,1.673571,1.712857,1.155076,37429000
2002-05-29,1.708571,1.745714,1.675000,1.712857,1.155076,55448400
2002-05-30,1.697857,1.741429,1.679286,1.728571,1.165673,49093800
2002-05-31,1.720714,1.732143,1.662857,1.664286,1.122321,91373800
2002-06-03,1.670714,1.675000,1.612857,1.636429,1.103536,58777600
2002-06-04,1.634286,1.645714,1.584286,1.627143,1.097274,86955400
2002-06-05,1.630714,1.630714,1.596429,1.622857,1.094384,69270600
2002-06-06,1.640000,1.659286,1.574286,1.582857,1.067409,64999200
2002-06-07,1.554286,1.567143,1.495000,1.528571,1.030802,153094200
2002-06-10,1.534286,1.560000,1.524286,1.534286,1.034655,69393800
2002-06-11,1.545714,1.550000,1.457857,1.461429,0.985523,87374000
2002-06-12,1.457857,1.482143,1.424286,1.435000,0.967701,132179600
2002-06-13,1.430000,1.432143,1.384286,1.395714,0.941209,88020800
2002-06-14,1.374286,1.454286,1.293571,1.435714,0.968182,106225000
2002-06-17,1.445714,1.473571,1.417857,1.467143,0.989377,81152400
2002-06-18,1.458571,1.470714,1.427143,1.439286,0.970591,88340000
2002-06-19,1.240714,1.257143,1.205714,1.222857,0.824641,427366800
2002-06-20,1.226429,1.257143,1.203571,1.222143,0.824160,99159200
2002-06-21,1.212143,1.249286,1.199286,1.203571,0.811636,111294400
2002-06-24,1.197857,1.266429,1.192857,1.233571,0.831866,107983400
2002-06-25,1.242857,1.262857,1.204286,1.224286,0.825605,75300400
2002-06-26,1.200000,1.235000,1.141429,1.182143,0.797185,139738200
2002-06-27,1.199286,1.233571,1.172857,1.218571,0.821751,62914600
2002-06-28,1.221429,1.272857,1.214286,1.265714,0.853542,67464600
2002-07-01,1.265000,1.277143,1.217857,1.218571,0.821751,55672400
2002-07-02,1.216429,1.225714,1.202143,1.210000,0.815971,76297200
2002-07-03,1.200714,1.262857,1.196429,1.253571,0.845354,49757400
2002-07-05,1.265000,1.339286,1.265000,1.338571,0.902674,40412400
2002-07-08,1.322857,1.329286,1.262857,1.286429,0.867511,52801000
2002-07-09,1.292143,1.306429,1.247143,1.252143,0.844390,56687400
2002-07-10,1.265000,1.297857,1.232143,1.237143,0.834275,51720200
2002-07-11,1.232857,1.310714,1.212143,1.307143,0.881480,93419200
2002-07-12,1.325000,1.342143,1.232857,1.250714,0.843427,110873000
2002-07-15,1.245000,1.328571,1.200714,1.302143,0.878108,73998400
2002-07-16,1.296429,1.326429,1.257857,1.275714,0.860286,111692000
2002-07-17,1.152143,1.157143,1.085000,1.116429,0.752871,303871400
2002-07-18,1.107143,1.111429,1.053571,1.070714,0.722043,139865600
2002-07-19,1.050000,1.083571,1.037857,1.068571,0.720598,96301800
2002-07-22,1.053571,1.085000,1.043571,1.065714,0.718671,107724400
2002-07-23,1.064286,1.080714,1.031429,1.033571,0.696995,99972600
2002-07-24,1.023571,1.087143,1.017857,1.085714,0.732158,101648400
2002-07-25,1.066429,1.067857,1.000714,1.025714,0.691697,119838600
2002-07-26,1.032857,1.037857,0.985714,1.024286,0.690733,51926000
2002-07-29,1.034286,1.078571,1.026429,1.072857,0.723488,68740000
2002-07-30,1.060714,1.107857,1.040000,1.102143,0.743237,88709600
2002-07-31,1.100000,1.101429,1.064286,1.090000,0.735048,77674800
2002-08-01,1.079286,1.101429,1.052143,1.057143,0.712891,57239000
2002-08-02,1.052857,1.071429,1.017857,1.032143,0.696032,44765000
2002-08-05,1.036429,1.050000,0.997857,0.999286,0.673874,51006200
2002-08-06,1.015000,1.087857,1.005714,1.052857,0.710001,68013400
2002-08-07,1.077857,1.097143,1.025000,1.073571,0.723970,83368600
2002-08-08,1.055000,1.098571,1.055000,1.092857,0.736975,56837200
2002-08-09,1.089286,1.089286,1.053571,1.071429,0.722524,51429000
2002-08-12,1.064286,1.072857,1.049286,1.070714,0.722043,44941400
2002-08-13,1.064286,1.086429,1.039286,1.042143,0.702775,67467400
2002-08-14,1.047857,1.096429,1.038571,1.083571,0.730713,99771000
2002-08-15,1.089286,1.125000,1.072143,1.115000,0.751907,80519600
2002-08-16,1.103571,1.150000,1.091429,1.129286,0.761541,61306000
2002-08-19,1.127143,1.160714,1.122857,1.141429,0.769729,54139400
2002-08-20,1.140714,1.149286,1.109286,1.136429,0.766358,46656400
2002-08-21,1.143571,1.160000,1.103571,1.151429,0.776473,50607200
2002-08-22,1.157143,1.160714,1.118571,1.140714,0.769248,64577800
2002-08-23,1.135714,1.137857,1.103571,1.123571,0.757687,40811400
