date,close,high,low,open,5EMA,20EMA,longorshort
1/30/02,1.720714,1.724286,1.638571,1.647857,1.668316394,1.720714,Short
1/31/02,1.765714,1.766429,1.722143,1.725714,1.700782262,1.724999714,Short
2/1/02,1.743571,1.782857,1.738571,1.738571,1.715045175,1.726768408,Short
2/4/02,1.810714,1.822857,1.728571,1.737143,1.746934783,1.734763226,Long
2/5/02,1.817857,1.855714,1.791429,1.792143,1.770575522,1.742676919,Long
2/6/02,1.762143,1.855714,1.725,1.828571,1.767764681,1.744530832,Long
2/7/02,1.735714,1.806429,1.72,1.760714,1.757081121,1.743691133,Long
2/8/02,1.716429,1.76,1.669286,1.742857,1.743530414,1.74109474,Long
2/11/02,1.784286,1.785714,1.695714,1.709286,1.757115609,1.745208193,Long
2/12/02,1.765,1.788571,1.746429,1.761429,1.75974374,1.747093127,Long
2/13/02,1.786429,1.802857,1.760714,1.766429,1.768638826,1.750839401,Long
2/14/02,1.757143,1.802143,1.741429,1.789286,1.764806884,1.751439743,Long
2/15/02,1.707143,1.784286,1.703571,1.752143,1.74558559,1.747221006,Short
2/19/02,1.615714,1.705,1.605714,1.697143,1.70229506,1.734696529,Short
2/20/02,1.652143,1.657143,1.596429,1.626429,1.685577706,1.726834288,Short
2/21/02,1.535714,1.642857,1.532143,1.637143,1.635623138,1.708632356,Short
2/22/02,1.624286,1.639286,1.535714,1.547143,1.631844092,1.70059937,Short
2/25/02,1.700714,1.765714,1.597143,1.632143,1.654800728,1.700610287,Short
2/26/02,1.690714,1.740714,1.660714,1.707857,1.666771819,1.699667783,Short
2/27/02,1.568571,1.732143,1.495714,1.71,1.634038212,1.687182376,Short
2/28/02,1.55,1.613571,1.525,1.582143,1.606025475,1.674117387,Short
3/1/02,1.675,1.678571,1.558571,1.566429,1.629016983,1.674201446,Short
3/4/02,1.735,1.755714,1.625714,1.661429,1.664344656,1.679991784,Short
3/5/02,1.680714,1.745,1.671429,1.725,1.669801104,1.680060567,Short
3/6/02,1.719286,1.738571,1.637857,1.677143,1.686296069,1.683796322,Long
3/7/02,1.741429,1.752143,1.686429,1.718571,1.704673713,1.689285149,Long
3/8/02,1.761429,1.792143,1.735714,1.767143,1.723592142,1.696155992,Long
3/11/02,1.79,1.795714,1.721429,1.757143,1.745728095,1.705093516,Long
3/12/02,1.765714,1.767143,1.721429,1.750714,1.752390063,1.710866896,Long
3/13/02,1.749286,1.775,1.725,1.740714,1.751355375,1.714525858,Long
3/14/02,1.745,1.757143,1.705,1.735714,1.749236917,1.717428157,Long
3/15/02,1.782143,1.782857,1.732143,1.747143,1.760205611,1.723591476,Long
3/18/02,1.767143,1.789286,1.737143,1.782143,1.762518074,1.72773924,Long
3/19/02,1.775,1.807143,1.735714,1.763571,1.766678716,1.732240265,Long
3/20/02,1.78,1.795714,1.75,1.761429,1.771119144,1.736788811,Long
3/21/02,1.733571,1.735714,1.661429,1.704286,1.758603096,1.736482353,Long
